,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
0,1,67.0,1,91.0,1,1,58.0,2,0,55.0,1,58.8,1
1,1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1
2,1,65.0,0,68.0,0,0,64.0,0,0,75.0,0,57.8,1
3,1,56.0,0,52.0,0,2,52.0,2,0,66.0,1,59.43,0
4,1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1
5,1,55.0,1,49.8,1,2,67.25,2,1,55.0,0,51.58,0
6,0,46.0,1,49.2,1,1,79.0,0,0,74.28,0,53.29,0
7,1,82.0,0,64.0,0,2,66.0,2,1,67.0,0,62.14,1
8,1,73.0,0,79.0,0,1,72.0,0,0,91.34,0,61.29,1
9,1,58.0,0,70.0,0,1,61.0,0,0,54.0,0,52.21,0
10,1,58.0,0,61.0,0,1,60.0,0,1,62.0,1,60.85,1
11,1,69.6,0,68.4,0,1,78.3,0,1,60.0,0,63.7,1
12,0,47.0,0,55.0,1,2,65.0,0,0,62.0,1,65.04,0
13,0,77.0,0,87.0,0,1,59.0,0,0,68.0,0,68.63,1
14,1,62.0,0,47.0,0,1,50.0,0,0,76.0,1,54.96,0
15,0,65.0,0,75.0,0,1,69.0,0,1,72.0,0,64.66,1
16,1,63.0,0,66.2,0,1,65.6,0,1,60.0,0,62.54,1
17,0,55.0,0,67.0,0,1,64.0,0,0,60.0,0,67.28,0
18,0,63.0,0,66.0,0,1,64.0,0,0,68.0,1,64.08,0
19,1,60.0,1,67.0,1,0,70.0,0,1,50.48,0,77.89,1
20,1,62.0,1,65.0,1,1,66.0,0,0,50.0,1,56.7,1
21,0,79.0,1,76.0,1,1,85.0,0,0,95.0,0,69.06,1
22,0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1
23,0,77.4,1,60.0,1,2,64.74,2,1,92.0,0,63.62,1
24,1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1
25,0,52.58,1,54.6,0,1,50.2,0,1,76.0,0,65.33,0
26,1,71.0,1,79.0,1,1,66.0,0,1,94.0,0,57.55,1
27,1,63.0,1,67.0,1,1,66.0,0,0,68.0,1,57.69,1
28,1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1
29,1,62.0,0,67.0,0,1,58.0,0,0,77.0,0,51.29,0
30,0,64.0,0,73.5,0,1,73.0,0,0,52.0,1,56.7,1
31,0,67.0,0,53.0,0,2,65.0,2,0,64.0,1,58.32,0
32,0,61.0,0,81.0,0,1,66.4,0,0,50.89,1,62.21,1
33,0,87.0,1,65.0,1,2,81.0,0,1,88.0,0,72.78,1
34,1,62.0,1,51.0,1,2,52.0,1,0,68.44,1,62.77,0
35,0,69.0,0,78.0,0,1,72.0,0,0,71.0,1,62.74,1
36,1,51.0,0,44.0,0,1,57.0,0,0,64.0,0,51.45,0
37,0,79.0,0,76.0,0,2,65.6,2,0,58.0,1,55.47,1
38,0,73.0,1,58.0,1,2,66.0,0,0,53.7,1,56.86,1
39,1,81.0,1,68.0,1,2,64.0,2,0,93.0,0,62.56,1
40,0,78.0,0,77.0,1,1,80.0,0,0,60.0,0,66.72,1
41,0,74.0,1,63.16,1,1,65.0,0,1,65.0,1,69.76,0
42,1,49.0,1,39.0,0,2,65.0,1,0,63.0,0,51.21,0
